Company,Job,Title,Question,Answer
(주)한국에프디엑스네트웍스,IT/웹/통신,"1대1면접, 되게 편한분위기에서 이전 경력에 대한 질문과 업무지식을 질문.""","자기소개, 이전 회사에서 어떤 업무를 했었는지, 그 업무에대해 자세히 설명.",그냥그럭저럭..
(주)매스티지,IT/웹/통신,"최초 연락 후 인터뷰 일정 조율, 경영진 면접 진행""","언제부터 출근 가능한지, 급여는 정해져 있음, 회사에 대해 궁금한점 있는지.",단순한 인성면접으로 끝났습니다.
(주)에이블짐정보,IT/웹/통신,"이력서 위주 업무 관련 위주의 질문을 받았고 개인면접이라 다소 편하게 진행할 수 있었음""",프론트앤드 관련 언어에 대해서 알고있는 정도는? 프론트앤드와 백앤드의 차이점은?,이력서 위주 면접을 봐서 대답하는데 어려운 것은 없었음
(주)스푼라디오,IT/웹/통신,"원티드로 지원 후 빠르게 1차 면접 잡힘. 대체로 합격이면 7일 이내로 빠르게 연락오는편""","가장 기억에 남는 프로젝트
주로 어떤 채널을 다루는지
입사하면 어떤 마케팅 할건지",꼬리질문 많고 지원자의 역량과 회사가 원하는걸 꼼꼼히 확인하는거 같았습니다. 질문을 잘 해주셔서 편하게 답변할 수 있었습니다.
호아소프트(주),IT/웹/통신,"서류합격 시 유선상으로 전화가 오고 어플로 결과가 발표됨

면접에 가면 지원한 직무에 대한 이야기와 지원한 동기 및 지원자 경력에 대한 질문이 오고감

면접이 끝나면 궁금한 부분을 물어보고 마치게됨""","1. 해당 직무에 대한 지원동기 및 정말 힘든일인데 버틸 수 있겠냐
2. 지원한 직무에 대한 지식수준을 물어보심",개인적으로 면접을 편한 분위기에서 볼 수 있도록 많이 배려해주신것 같고 합이든 불이든 연락을 주셔서 너무 감사합니다.
컴즈(주),IT/웹/통신,"지금까지 네군데 면접봤는데
여기빼고 다붙었음
그이유는..
첫날 여기서 하드코어 면접 연습하고 갔기 때문임ㅋㅋㅋㅋ

물론 컴즈가 첫면접이라 얼어서 조졌음 ㅜ.ㅜ

인성보다 직무 관련된 질문을 굉장히 많이...""","최저임금 올해 얼만지 아냐
최저임금인상시 회사의 대처방안?
근태관리는 왜 해야하냐 왜 중요하냐
주휴일이에 대해 설명해보라
연차사용 촉진제도
머 4대보험이 머냐 등
인사관련 기초적인거 자세히 물어보셨음",면접 실력 쌓는데 도움많이됨!
카닥,IT/웹/통신,"면접은 1,2차로 진행됐고, 1차 때는 비대면 2차 때는 대면으로 진행됨. 밝은 분위기로 진행되었고 좋았음.""",플랫폼을 통해 과제를 제출한 후 면접전형으로 이어졌는데 과제 풀이 과정과 왜 그렇게 했는지 질문함.,"과정에 대해서 물어보고 그에 대한 생각을 물어보는 것을 보니, 문제해결을 해낼 줄 아는 사람을 뽑으려는구나 생각하게 됨."
에프피티소프트웨어코리아(주),IT/웹/통신,"팀즈로 진행되었으며, 얼굴은 저만 오픈하였었습니다. 3-4명의 면접관이 함께 참가하였으며, 한국인은 없었습니다.""","1. 야근 많은데 괜찮은지
2. 어떤 업무까지 해봤는지
3. 알고 있는 이론에 대해 개념 설명하기
4. 자기소개 등",
,,,,
,,,,
